run_id,checkpoint,tag,stage,beta,epochs,lr,lora_r,simpo_gamma,max_new_tokens,avg_gen_length,p90_gen_length,harmful_refusal_rate,over_refusal_rate,pref_acc,mt_bench,alpacaeval2_lc,notes
dpo5_base,mistralai/Mistral-7B-v0.1,base,base,,,,,,,,,,,,3.17,,"RTX 4090, Mistral-7B-v0.1 float16"
dpo5_base,mistralai/Mistral-7B-v0.1,base,base,,,,,,,,,,,,3.17,,"RTX 4090, Mistral-7B-v0.1 float16"
dpo5_sft,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft,sft,,1,2e-4,16,,,,,,,,5.75,,"RTX 4090, UltraChat 1 epoch QLoRA"
dpo6/checkpoint-3732,d:\git\DPOTuning\checkpoints\checkpoint-3732,dpo6_ep1,dpo,0.1,1,5e-06,16,,512,310.8,513.0,0.4,0.0,,,,
dpo6/checkpoint-7464,d:\git\DPOTuning\checkpoints\checkpoint-7464,dpo6_ep2,dpo,0.1,2,5e-06,16,,512,404.3,513.0,0.4,0.0,,,,
dpo6/checkpoint-11196,d:\git\DPOTuning\checkpoints\checkpoint-11196,dpo6_ep3,dpo,0.1,3,5e-06,16,,512,434.4,513.0,0.4,0.0,,,,
dpo6/checkpoint-3732,d:\git\DPOTuning\checkpoints\checkpoint-3732,dpo6_ep1,dpo,0.1,3,5e-06,16,,1024,417.1,1024.1,0.4,0.0,,,,
dpo6/checkpoint-7464,d:\git\DPOTuning\checkpoints\checkpoint-7464,dpo6_ep2,dpo,0.1,3,5e-06,16,,1024,655.9,1025.0,0.4,0.0222,,,,
dpo6/checkpoint-11196,d:\git\DPOTuning\checkpoints\checkpoint-11196,dpo6_ep3,dpo,0.1,3,5e-06,16,,1024,613.5,1025.0,0.4,0.0,,,,
dpo5_sft_zephyr,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft_zephyr,sft,,1,2e-4,16,,,,,,,,6.29,,DPO-8: SFT re-eval with correct Zephyr chat template
dpo6/checkpoint-3732,D:\git\DPOTuning\checkpoints\checkpoint-3732,dpo6_ep1,dpo,0.1,3,5e-06,16,,,,,,,,6.03,,"DPO-8 MT-Bench, DPO-6 epoch 1"
dpo6/checkpoint-7464,D:\git\DPOTuning\checkpoints\checkpoint-7464,dpo6_ep2,dpo,0.1,3,5e-06,16,,,,,,,,6.67,,"DPO-8 MT-Bench, DPO-6 epoch 2"
dpo6/checkpoint-11196,D:\git\DPOTuning\checkpoints\checkpoint-11196,dpo6_ep3,dpo,0.1,3,5e-06,16,,,,,,,,6.82,,"DPO-8 MT-Bench, DPO-6 epoch 3"
dpo5_sft_zephyr_smoke,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft_zephyr_smoke,sft,,1,2e-4,16,,1024,671.0,,,,,,0.36,"DPO-15 smoke test (15 prompts) — not a real eval (raw=0.18%, LC=0.36%)"
dpo5_sft_zephyr,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft_zephyr,sft,,1,2e-4,16,,1024,893.0,,,,,,5.83,"DPO-15 AE2 LC: SFT anchor (raw=3.60%, LC=5.83%)"
dpo6/checkpoint-3732,D:\git\DPOTuning\checkpoints\dpo\checkpoint-3732,dpo6_ep1,dpo,0.1,3,5e-06,16,,1024,2306.0,,,,,,5.35,"DPO-15 AE2 LC: DPO-6 epoch 1 (raw=6.03%, LC=5.35%)"
dpo5_sft_zephyr,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft_zephyr,sft,,1,2e-4,16,,1024,893.0,,,,,,5.83,"DPO-15 AE2 LC: SFT anchor (raw=3.60%, LC=5.83%)"
dpo6/checkpoint-3732,D:\git\DPOTuning\checkpoints\dpo\checkpoint-3732,dpo6_ep1,dpo,0.1,3,5e-06,16,,1024,2306.0,,,,,,5.35,"DPO-15 AE2 LC: DPO-6 epoch 1 (raw=6.03%, LC=5.35%)"
dpo6/checkpoint-7464,D:\git\DPOTuning\checkpoints\dpo\checkpoint-7464,dpo6_ep2,dpo,0.1,3,5e-06,16,,1024,2706.0,,,,,,8.24,"DPO-15 AE2 LC: DPO-6 epoch 2 (raw=9.60%, LC=8.24%)"
dpo6/checkpoint-11196,D:\git\DPOTuning\checkpoints\dpo\checkpoint-11196,dpo6_ep3,dpo,0.1,3,5e-06,16,,1024,2678.0,,,,,,10.82,"DPO-15 AE2 LC: DPO-6 epoch 3 (raw=13.50%, LC=10.82%)"
dpo5_sft_zephyr,D:\git\DPOTuning\checkpoints\sft-zephyr-lora\checkpoint-17205,sft_zephyr,sft,,1,2e-4,16,,1024,893.0,,,,,,5.83,"DPO-15 AE2 LC: SFT anchor (raw=3.60%, LC=5.83%)"
